clase,stel_sku,stel_nombre,canonico_sku,canonico_nombre,marca,duplicados_del_mismo_canonico,ficha_stel,ficha_canonico,docs_stel,movimientos_stel,stock_stel,decision_propuesta,motivo
"PAR_1_A_1","B2036LA-2","DUROFIX Bateria 20V 4 Ah Cod. B2036LA-2","DU.B2036LA-2","DUROFIX B2036LA-2 - Batería Li-Ion","DUROFIX","1","0","6","4","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha; el de STEL tiene 4 documento(s) y hay que conservarlos"
"PAR_1_A_1","FM.REP.BC12_ST","FIAM ARM BC12 SISTEMA TELESCOPICO","FI.BC12","FIAM ARM BC12 BRAZO DE REACCION Cod.692031031","FIAM","1","1","3","1","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha; el de STEL tiene 1 documento(s) y hay que conservarlos"
"GRUPO_MUCHOS_A_UNO","PRO00209","ESTIC EH2-R2120-S PULSE TOOLS (FOR HARD JOINTS)","ET.EH2-R2120-S","ESTIC EH2-R2120-S STRAIGHT TOOL 120NM","ESTIC","3","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","3 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"PAR_1_A_1","PRO00237","GEDORE TSN25A DE 3-25 NM","GE.TSN25A","GEDORE TSN25A - LLAVE DINAMOMÉTRICA 3-25 Nm 3/8""","GEDORE","1","1","8","4","1","1","revisar: tiene stock","el técnico tiene la ficha, pero el de STEL tiene SALDO de stock"
"PAR_1_A_1","PRO00238","GEDORE TSN55A DE 15-55 NM","GE.TSN55A","GEDORE TSN55A - LLAVE DINAMOMÉTRICA 15-55 Nm 3/8""","GEDORE","1","1","8","6","1","1","revisar: tiene stock","el técnico tiene la ficha, pero el de STEL tiene SALDO de stock"
"PAR_1_A_1","PRO00247","ESTIC EH2-CVS05-SS Cable 5 Mtrs","ET.EH2-CVS05-SS","ESTIC EH2-CVS05-SS TOOL CABLE 5M","ESTIC","1","1","3","3","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha; el de STEL tiene 3 documento(s) y hay que conservarlos"
"PAR_1_A_1","PRO00249","APEX EX-508-18","AP.EX-508-18","APEX EX-508-18 EXTENSION","APEX","1","1","9","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"PAR_1_A_1","PRO00331","INGERSOLL RAND BC1121-EU CARGADOR PARA BATERIAS 20V","IR.BC1121-EU","INGERSOLL RAND BC1121-EU CHARGER, 12V/20V, EU","INGERSOLL RAND","1","1","3","1","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha; el de STEL tiene 1 documento(s) y hay que conservarlos"
"PAR_1_A_1","PRO00334","INGERSOLL RAND QXX2PT500NPS12 PISTOLA A BATERIA 500NM","IR.QXX2PT500NPS12","INGERSOLL RAND QXX2PT500NPS12 500NM QX PISTOL, 3/4"" SQ. WIRELESS","INGERSOLL RAND","1","1","3","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"PAR_1_A_1","PRO00336","INGERSOLL RAND QXX5A45T0270PS12 ANGULAR A BATERIA 271NM","IR.QXX5A45T0270PS12","INGERSOLL RAND QXX5A45T0270PS12 QX WIRELESS 40V 60NM MULTIPLIED 270 NM","INGERSOLL RAND","1","1","3","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
