estado,campo,sku_origen,referencia_original,sku_destino_esperado,sku_destino_resuelto,product_id,equivalent_product_id
"VALID","sim_tc","TE.9336L","9336","TE.9336","TE.9336","aa36d86f-954f-46b8-9623-86328a89a6fe","c7c83e1c-5c4b-487e-a928-2a6a9adb7db9"
"VALID","sim_tc","TE.9336L","9336NY","TE.9336NY","TE.9336NY","aa36d86f-954f-46b8-9623-86328a89a6fe","f73b76a3-fc6f-4de5-a02b-fb364aa913d6"
"VALID","sim_tc","TE.9336L","9336IL","TE.9336IL","TE.9336IL","aa36d86f-954f-46b8-9623-86328a89a6fe","a98da186-1def-46df-9f0a-70728795e8d7"
"VALID","sim_cp","TE.9336L","CP9911","CP.CP9911","CP.CP9911","aa36d86f-954f-46b8-9623-86328a89a6fe","3f9a6b3d-3b06-4c1f-8bf0-7eb4de21dcba"
"VALID","sim_cp","TE.9336L","CP9912","CP.CP9912","CP.CP9912","aa36d86f-954f-46b8-9623-86328a89a6fe","6fe2d1c7-6689-40e6-88e3-eb68bccd9eba"
"VALID","sim_cp","TE.9336L","CP9920","CP.CP9920","CP.CP9920","aa36d86f-954f-46b8-9623-86328a89a6fe","fc100347-625e-4b82-b42a-e22f8c0d76ac"
"VALID","sim_ir","TE.9336L","BLD-1","IR.BLD-1","IR.BLD-1","aa36d86f-954f-46b8-9623-86328a89a6fe","542ef9de-a7fb-4798-a750-9cec28a3abdf"
"VALID","sim_ir","TE.9336L","BLD-2","IR.BLD-2","IR.BLD-2","aa36d86f-954f-46b8-9623-86328a89a6fe","a1ce929e-f66d-4b8e-9148-a8237f7c13b4"
"VALID","sim_ir","TE.9336L","BMDS-2","IR.BMDS-2","IR.BMDS-2","aa36d86f-954f-46b8-9623-86328a89a6fe","3c1611e7-5137-4ac8-8a92-de32fd535659"
"VALID","sim_tc","TE.9336LNY","9336L","TE.9336L","TE.9336L","5b9eee99-e277-4478-a71f-610e96b40d3e","aa36d86f-954f-46b8-9623-86328a89a6fe"
"VALID","sim_tc","TE.9336LNY","9336NY","TE.9336NY","TE.9336NY","5b9eee99-e277-4478-a71f-610e96b40d3e","f73b76a3-fc6f-4de5-a02b-fb364aa913d6"
"VALID","sim_tc","TE.9336LNY","9336","TE.9336","TE.9336","5b9eee99-e277-4478-a71f-610e96b40d3e","c7c83e1c-5c4b-487e-a928-2a6a9adb7db9"
"VALID","sim_cp","TE.9336LNY","CP9911","CP.CP9911","CP.CP9911","5b9eee99-e277-4478-a71f-610e96b40d3e","3f9a6b3d-3b06-4c1f-8bf0-7eb4de21dcba"
"VALID","sim_cp","TE.9336LNY","CP9912","CP.CP9912","CP.CP9912","5b9eee99-e277-4478-a71f-610e96b40d3e","6fe2d1c7-6689-40e6-88e3-eb68bccd9eba"
"VALID","sim_cp","TE.9336LNY","CP9920","CP.CP9920","CP.CP9920","5b9eee99-e277-4478-a71f-610e96b40d3e","fc100347-625e-4b82-b42a-e22f8c0d76ac"
"VALID","sim_ir","TE.9336LNY","BLD-1","IR.BLD-1","IR.BLD-1","5b9eee99-e277-4478-a71f-610e96b40d3e","542ef9de-a7fb-4798-a750-9cec28a3abdf"
"VALID","sim_ir","TE.9336LNY","BLD-2","IR.BLD-2","IR.BLD-2","5b9eee99-e277-4478-a71f-610e96b40d3e","a1ce929e-f66d-4b8e-9148-a8237f7c13b4"
"VALID","sim_ir","TE.9336LNY","BMDS-2","IR.BMDS-2","IR.BMDS-2","5b9eee99-e277-4478-a71f-610e96b40d3e","3c1611e7-5137-4ac8-8a92-de32fd535659"
"VALID","sim_tc","TE.9346L","9346","TE.9346","TE.9346","8e759474-b25d-4022-a374-a90c25ec8bdb","b547bf76-e3d0-4abe-af65-01cad7469cd4"
"VALID","sim_tc","TE.9346L","9346NY","TE.9346NY","TE.9346NY","8e759474-b25d-4022-a374-a90c25ec8bdb","b709bb10-3cf6-40f7-88a7-5496627a052b"
